sex,educ,cause,mx,age,year
Females,Higher,Blood,1.5322178928639212e-5,63,2020-2021
Females,Higher,Blood,1.6603137276219634e-5,64,2016-2019
Females,Higher,Blood,1.7049823021832434e-5,64,2020-2021
Females,Higher,Blood,1.8565761114689773e-5,65,2016-2019
Females,Higher,Blood,1.9065248693959646e-5,65,2020-2021
Females,Higher,Blood,2.085738968782562e-5,66,2016-2019
Females,Higher,Blood,2.1418530543872585e-5,66,2020-2021
Females,Higher,Blood,2.3536023803057523e-5,67,2016-2019
Females,Higher,Blood,2.4169229815049442e-5,67,2020-2021
Females,Higher,Blood,2.6670645083319614e-5,68,2016-2019
Females,Higher,Blood,2.7388183990986247e-5,68,2020-2021
Females,Higher,Blood,3.0343283587698176e-5,69,2016-2019
Females,Higher,Blood,3.115963004248083e-5,69,2020-2021
Females,Higher,Blood,3.4651465480974726e-5,70,2016-2019
Females,Higher,Blood,3.558371794853179e-5,70,2020-2021
Females,Higher,Blood,3.9711103531893236e-5,71,2016-2019
Females,Higher,Blood,4.077947895969008e-5,71,2020-2021
Females,Higher,Blood,4.565990127483111e-5,72,2016-2019
Females,Higher,Blood,4.688832134425782e-5,72,2020-2021
Females,Higher,Blood,5.266072372108942e-5,73,2016-2019
Females,Higher,Blood,5.407749178416843e-5,73,2020-2021
Females,Higher,Blood,6.090190769630113e-5,74,2016-2019
Females,Higher,Blood,6.254039406161764e-5,74,2020-2021
Females,Higher,Blood,7.060211710989947e-5,75,2016-2019
Females,Higher,Blood,7.250157495322209e-5,75,2020-2021
Females,Higher,Blood,8.201585411381145e-5,76,2016-2019
Females,Higher,Blood,8.422238365924685e-5,76,2020-2021
Females,Higher,Blood,9.543807396058846e-5,77,2016-2019
Females,Higher,Blood,9.80057108184728e-5,77,2020-2021
Females,Higher,Blood,1.1120896351719171e-4,78,2016-2019
Females,Higher,Blood,1.142008955816608e-4,78,2020-2021
Females,Higher,Blood,1.2971873316647812e-4,79,2016-2019
Females,Higher,Blood,1.332086464328948e-4,79,2020-2021
Females,Higher,Blood,1.5141220679977936e-4,80,2016-2019
Females,Higher,Blood,1.554857546699228e-4,80,2020-2021
Females,Higher,Blood,1.7679292080735064e-4,81,2016-2019
Females,Higher,Blood,1.8154930367259413e-4,81,2020-2021
Females,Higher,Blood,2.0642884883369464e-4,82,2016-2019
Females,Higher,Blood,2.1198254767525879e-4,82,2020-2021
Females,Higher,Blood,2.4100843489978176e-4,83,2016-2019
Females,Higher,Blood,2.474924523870295e-4,83,2020-2021
Females,Higher,Blood,2.813802551716525e-4,84,2016-2019
Females,Higher,Blood,2.889504238085216e-4,84,2020-2021
Females,Higher,Blood,3.2854950460914096e-4,85,2016-2019
Females,Higher,Blood,3.373887003584431e-4,85,2020-2021
Females,Higher,Blood,3.8370736118959056e-4,86,2016-2019
Females,Higher,Blood,3.9403050710343956e-4,86,2020-2021
Females,Higher,Blood,4.482681241743996e-4,87,2016-2019
Females,Higher,Blood,4.6032819318124246e-4,87,2020-2021
Females,Higher,Blood,5.239143489724425e-4,88,2016-2019
Females,Higher,Blood,5.380095809587003e-4,88,2020-2021
Females,Higher,Blood,6.12651826591481e-4,89,2016-2019
Females,Higher,Blood,6.291344246335995e-4,89,2020-2021
Females,Higher,Blood,7.168767121120203e-4,90,2016-2019
Females,Higher,Blood,7.361633447125261e-4,90,2020-2021
Females,Higher,Blood,8.394572859543491e-4,91,2016-2019
Females,Higher,Blood,8.620417889581072e-4,91,2020-2021
Females,Higher,Blood,9.837720823484331e-4,92,2016-2019
Females,Higher,Blood,0.0010102391866556575,92,2020-2021
Females,Higher,Blood,0.0011537057774525248,93,2016-2019
Females,Higher,Blood,0.0011847447261069633,93,2020-2021
Females,Higher,Blood,0.0013538066527245464,94,2016-2019
Females,Higher,Blood,0.00139022905434824,94,2020-2021
Females,Higher,Blood,0.0015894085455903054,95,2016-2019
Females,Higher,Blood,0.0016321695087419643,95,2020-2021
Females,Higher,Blood,0.0018667582838891735,96,2016-2019
Females,Higher,Blood,0.0019169809798800224,96,2020-2021
Females,Higher,Blood,0.002193161406325428,97,2016-2019
Females,Higher,Blood,0.0022521655524536882,97,2020-2021
Females,Higher,Blood,0.0025771481616132866,98,2016-2019
Females,Higher,Blood,0.002646482970389077,98,2020-2021
Females,Higher,Blood,0.00302866183041854,99,2016-2019
Females,Higher,Blood,0.0031101440253448694,99,2020-2021
Females,Higher,Blood,0.0035592714157689507,100,2016-2019
Females,Higher,Blood,0.003655028969280734,100,2020-2021
Females,Higher,Circulatory,2.41360645202291e-5,35,2016-2019
Females,Higher,Circulatory,2.318069339731558e-5,35,2020-2021
Females,Higher,Circulatory,2.7241473411762952e-5,36,2016-2019
Females,Higher,Circulatory,2.6163181753178687e-5,36,2020-2021
Females,Higher,Circulatory,3.071653990235049e-5,37,2016-2019
Females,Higher,Circulatory,2.9500695654257305e-5,37,2020-2021
Females,Higher,Circulatory,3.459889289443089e-5,38,2016-2019
Females,Higher,Circulatory,3.3229374548620495e-5,38,2020-2021
Females,Higher,Circulatory,3.892879585371345e-5,39,2016-2019
Females,Higher,Circulatory,3.7387888164422914e-5,39,2020-2021
Females,Higher,Circulatory,4.374911215547465e-5,40,2016-2019
Females,Higher,Circulatory,4.201740322788977e-5,40,2020-2021
Females,Higher,Circulatory,4.910522104735261e-5,41,2016-2019
Females,Higher,Circulatory,4.71615027525325e-5,41,2020-2021
Females,Higher,Circulatory,5.5044875926764264e-5,42,2016-2019
Females,Higher,Circulatory,5.2866049926331907e-5,42,2020-2021
Females,Higher,Circulatory,6.161799627275649e-5,43,2016-2019
Females,Higher,Circulatory,5.917898827949208e-5,43,2020-2021
Females,Higher,Circulatory,6.887638438234051e-5,44,2016-2019
Females,Higher,Circulatory,6.615006963312242e-5,44,2020-2021
Females,Higher,Circulatory,7.687584628278152e-5,45,2016-2019
Females,Higher,Circulatory,7.383289106004619e-5,45,2020-2021
Females,Higher,Circulatory,8.569767722564067e-5,46,2016-2019
