educ,year,e35_component,cause,age,Females,Males,mxc_diff,sensitivity,result,result_rescaled
Higher,2016-2019,1.9216911507526655,Blood,60,1.114947241843667e-5,1.9382502057078963e-5,-8.233029638642293e-6,-23.87362028295361,1.965522233712489e-4,8.595843663394662e-5
Higher,2016-2019,1.9216911507526655,Blood,61,1.223110498755118e-5,2.111136286958798e-5,-8.8802578820368e-6,-22.91257551229234,2.0346957929079742e-4,8.89836127946959e-5
Higher,2016-2019,1.9216911507526655,Blood,62,1.3476753510971967e-5,2.291814566513663e-5,-9.441392154164662e-6,-21.95625739248964,2.0729763628027156e-4,9.065774188118978e-5
Higher,2016-2019,1.9216911507526655,Blood,63,1.4920755470437452e-5,2.4804686154735865e-5,-9.883930684298413e-6,-21.0051183302132,2.076131335913133e-4,9.079571872599064e-5
Higher,2016-2019,1.9216911507526655,Blood,64,1.6603137276219634e-5,2.6783075843593142e-5,-1.0179938567373508e-5,-20.059644702310234,2.0420595075285763e-4,8.930565107325046e-5
Higher,2016-2019,1.9216911507526655,Blood,65,1.8565761114689773e-5,2.889461426765608e-5,-1.0328853152966307e-5,-19.12036577816629,1.9749145035368194e-4,8.636918997811955e-5
Higher,2016-2019,1.9216911507526655,Blood,66,2.085738968782562e-5,3.1197481869396605e-5,-1.0340092181570983e-5,-18.187864340651117,1.880641938682403e-4,8.224635577489002e-5
Higher,2016-2019,1.9216911507526655,Blood,67,2.3536023803057523e-5,3.3766404992473695e-5,-1.0230381189416172e-5,-17.262786223152276,1.766048834542497e-4,7.723484081365134e-5
Higher,2016-2019,1.9216911507526655,Blood,68,2.6670645083319617e-5,3.6696885587799445e-5,-1.0026240504479828e-5,-16.345850865469433,1.638874320275563e-4,7.167310142522465e-5
Higher,2016-2019,1.9216911507526655,Blood,69,3.0343283587698176e-5,4.011152223892912e-5,-9.768238651230944e-6,-15.437863521040954,1.5080073513866048e-4,6.594987944392415e-5
Higher,2016-2019,1.9216911507526655,Blood,70,3.4651465480974726e-5,4.416935806286553e-5,-9.517892581890802e-6,-14.539729369838485,1.3838758231188552e-4,6.0521219353560034e-5
Higher,2016-2019,1.9216911507526655,Blood,71,3.971110353189323e-5,4.9079654092124806e-5,-9.368550560231576e-6,-13.652469811174505,1.2790385369802358e-4,5.593635683567328e-5
Higher,2016-2019,1.9216911507526655,Blood,72,4.565990127483111e-5,5.512223465154943e-5,-9.46233337671832e-6,-12.777241211381343,1.2090251597683449e-4,5.287445280560304e-5
Higher,2016-2019,1.9216911507526655,Blood,73,5.266072372108942e-5,6.265889009970851e-5,-9.998166378619088e-6,-11.915355898965087,1.1913171073831336e-4,5.2100024273197316e-5
Higher,2016-2019,1.9216911507526655,Blood,74,6.090190769630113e-5,7.204831546983188e-5,-1.1146407773530753e-5,-11.068301682070361,1.233718039088126e-4,5.395434967266111e-5
Higher,2016-2019,1.9216911507526655,Blood,75,7.060211710989947e-5,8.369117925371468e-5,-1.308906214381521e-5,-10.237753572417361,1.34002592722437e-4,5.8603526216844995e-5
Higher,2016-2019,1.9216911507526655,Blood,76,8.201585411381145e-5,9.807966682143172e-5,-1.6063812707620275e-5,-9.425580688701293,1.514107628438601e-4,6.62166636447994e-5
Higher,2016-2019,1.9216911507526655,Blood,77,9.543807396058846e-5,1.158111650226e-4,-2.0373091062011545e-5,-8.633848522545069,1.7589818216542452e-4,7.692577823011666e-5
Higher,2016-2019,1.9216911507526655,Blood,78,1.1120896351719171e-4,1.3760136716093634e-4,-2.6392403643744623e-5,-7.864814480520498,2.0757135835306468e-4,9.077744910731999e-5
Higher,2016-2019,1.9216911507526655,Blood,79,1.2971873316647812e-4,1.6429511581037885e-4,-3.4576382643900725e-5,-7.12091477061789,2.4621547388348875e-4,1.0767772985267009e-4
Higher,2016-2019,1.9216911507526655,Blood,80,1.5141220679977936e-4,1.968724101268016e-4,-4.5460203327022227e-5,-6.404740602915256,2.9116081006536244e-4,1.273337315295565e-4
Higher,2016-2019,1.9216911507526655,Blood,81,1.7679292080735064e-4,2.3644605915559903e-4,-5.965313834824839e-5,-5.719001670156279,3.4115639784369615e-4,1.4919836623228177e-4
Higher,2016-2019,1.9216911507526655,Blood,82,2.0642884883369464e-4,2.842492770392234e-4,-7.782042820552877e-5,-5.066474837669643,3.942752413599885e-4,1.7242889838372648e-4
Higher,2016-2019,1.9216911507526655,Blood,83,2.4100843489978176e-4,3.416659366957524e-4,-1.0065750179597062e-4,-4.4499318995742065,4.4791902817333765e-4,1.958890046624058e-4
Higher,2016-2019,1.9216911507526655,Blood,84,2.813802551716525e-4,4.102296858049664e-4,-1.288494306333139e-4,-3.872037987631256,4.989098900968498e-4,2.1818890388707e-4
Higher,2016-2019,1.9216911507526655,Blood,85,3.2854950460914096e-4,4.915483037864057e-4,-1.6299879917726476e-4,-3.3352243045473777,5.436375566280505e-4,2.3774971181568137e-4
Higher,2016-2019,1.9216911507526655,Blood,86,3.8370736118959056e-4,5.872319319853687e-4,-2.0352457079577811e-4,-2.8415459626022415,5.783244224350974e-4,2.529193634500642e-4
Higher,2016-2019,1.9216911507526655,Blood,87,4.482681241743996e-4,6.987922776519698e-4,-2.5052415347757024e-4,-2.3925349209452054,5.99387785735323e-4,2.6213103121187025e-4
